,title,company,location,industry,description,seniority,employment_type,functions
0,"Data Scientist, Machine Learning",DoorDash,"San Francisco, CA, US","Consumer,Services","Come help us build the world's most reliable on-demand, logistics engine for delivery! We're bringing on talented data scientists to help us develop and improve the models that power DoorDash's three-sided marketplace of consumers, merchants, and dashers.As a machine learning data scientist, you will have the opportunity to leverage our robust data and machine learning infrastructure to develop models that impact millions of users across our three audiences and tackle our most challenging business problems. You will work with data scientists, engineers, and product managers to develop and iterate on models to help us grow our business.Example ProjectsForecast the supply of available dashers as well as incoming delivery demandIterate and improve our recommendation, personalization and ranking algorithms which has applications in several product areas like search, autocomplete and email/push communications. Read about it !Build models for next generation pricing and pay algorithmsImprove models used in real time vehicle routing in major metropolitan areas, to help our dashers arrive at desired locations with little to no lag/latencyPredict preparation time for over 50,000 merchant partnersAbout YouHigh-energy and confident — you’ll do whatever it takes to winYou’re an owner — driven, focused, and quick to take ownership of your workHumble — you’re willing to jump in and you’re open to feedbackAdaptable, resilient, and able to thrive in ambiguity — things change quickly in our fast-paced startup and you’ll need to be able to keep up!Growth-minded — you’re eager to expand your skill set and excited to carve out your career path in a hyper-growth settingDesire for impact — ready to take on a lot of responsibility and work collaboratively with your teamQualifications2+ years of industry experience developing machine learning models with business impact — more experience preferredB.S., M.S., or PhD. in Statistics, Computer Science, Math, Physics, Economics, or other quantitative fieldDeep understanding of statistics / machine learningDemonstrated programming abilities (Python preferred)Nice To HavesFamiliar with Pandas / Python machine learning librariesExperience productionizing machine learning modelsDeep understanding of recommender systems / information retrieval approachesInterview ProcessTake-Home ProjectEvaluations are designed to take 3-4 hours of your timeGraded on ability to build a machine learning modelOnsite InterviewDomain Knowledge, covering how to develop a production-ready machine learning modelBusiness Intuition Case, covering a structured problem solving challengeCoding Interview, covering a basic coding problem relevant for data science workValues Interview, covering collaboration style / conflict resolutionAbout UsFounded in 2013, DoorDash is a San Francisco-based technology company passionate about transforming local businesses and dedicated to enabling new ways of working, earning, and living. Today, DoorDash connects customers with their favorite local and national restaurants in more than 600 cities across the United States and Canada. By building intelligent, last-mile delivery technology for local cities, DoorDash aims to connect people with the things they care about — one dash at a time.",Entry level,Full-time,"

              Engineering
 

              Information Technology
 
"
1,Scientist III,Prothena Corporation plc,"South San Francisco, California, US",Biotechnology,"The Antibody Discovery group is seeking an independent and motivated Scientist to join a research team focused on the discovery and development of novel therapeutics for neurodegenerative diseases. The qualified candidate should have expertise in the generation of rodent hybridomas across multiple projects encompassing antibodies to proteins, peptides, and cell membrane proteins. The candidate will be expected to manage multiple antibody campaigns across a wide variety of Neurodegenerative targets, communicate effectively to program leaders and manage an experienced scientist.  Contribute to therapeutic antibody discovery by hybridoma platform and experience with other therapeutic platforms is a plusStrive to incorporate novel immunization, fusion, and screening methods.Utilize multiple in-house platforms as needed to meet program requirements, guide project teams towards appropriate technologies or platforms as needed. (FACS, ELISA, BIAcore, Forte Bio)Proactively propose strategies to project teams to generate the target antibodiesExecute on all stages of antibody generation to deliver diverse panels of antibodies meeting the required criteria.Integrate data from multiple sources (binding, epitope, and protein characterization (western blot, Immuno-precipitation) to generate a complete data package of antibody characterization.Manage an experienced hybridoma scientist.Strong focus, motivation, and commitment to hands-on lab work is required Interface with multiple discovery projects and matrix teams across the organization.Excellent written and oral skills are necessaryAccomplish goals under project team time linesExperience in neurodegeneration a plusEducation and/or Experience:PhD and a minimum of 3 years of direct research experience in Hybridoma and antibody discovery or a MS or BS and a minimum of 10 years industry experience in hybridoma and antibody discoveryIn-depth knowledge in therapeutic antibody field with good understanding of basic immunologyMust have hands on in-depth experience in hybridoma technology, including but not limited to immunogen preparation, animal immunization and bleeding, cell culture, cell fusion and post-fusion screeningMust be independent, creative, and self-motivatedProven management experience in a fast paced environmentMolecular biology experience a plusCompetencies and Attributes:Demonstrated leadership to drive results that are needed to achieve company objectives in accord with Prothena's culture and values - courageous, imaginative, selfless and joyfulPI103392169",Mid-Senior level,Full-time,"

              Research
 
"
2,Principal Data Scientist - California,Teradata,"San Diego, CA, US","Computer,Software,Information,Technology,Services","Data Scientists at Think Big Analytics help our customers solve some of the most challenging business problems using machine learning and artificial intelligence. We are partners in our customer's success, focusing on delivering insights and value that impact their business. We simplify the complexity around data science, helping C-level executives as well as data science practitioners navigate the highly dynamic field. We are looking for experienced, hard-working and talented Principal Data Scientists with the passion to help businesses have a positive impact the lives of millions of people every day. Join us in our pursuit for wisdom.Key Responsibilities Lead and mentor a distributed team of data scientists and developers to define and execute data science solutions that address client use cases and business requirements Business development and sales by engaging prospective clients, developing proposals and guiding sales teams to promote data science consulting Perform hands on data exploration and modeling over a variety types of data (e.g. text, sensor, image, audio, etc.) using big data technologies Analyze business and operational data to identify and correct business problems Simplify and communicate the complex to business leaders Develop algorithms, platforms, and re-usable software, services and applications Engage brand building activities such as publishing and speaking engagementsBasic Qualifications Degree in Computer Science, Engineering, Mathematics, Economics, Statistics, Finance, or related field. 5+ years relevant experience in predictive modeling and analysis. 5+ years of experience with machine learning, data mining, and analytics techniques 3+ years of experience in R, Python, Weka, SAS, Matlab or other statistical/machine learning software. Strong communication, analytical and collaborative problem-solving skills. Experience managing and growing high performing teams in Data Science. Ability to travel to client sites as required.Preferred Candidate 5+ years of experience with software development, continuous development/integration, etc. Experience with AWS, Azure, Google Cloud or Oracle Cloud services (e.g. EC2, S3, EMR, Redshift, etc.) Experience with NoSQL, parallel or distributed programming (e.g. Hadoop/Spark) Experience with Graphical Processing Units (GPUs) and CUDA programming. Experience with one or more of these or similar Natural Language Processing, Computer Vision, Deep Learning, Speech Recognition and Statistical Optimization methods. Experience in business development and sales. Managing client relationships and leading additional sales activities. MS/PhD Degree in Computer Science, Engineering, Mathematics, Economics, Statistics, Finance, or related field.Teradata empowers companies to achieve high-impact business outcomes through analytics. With a powerful combination of Industry expertise and leading hybrid cloud technologies for data warehousing and big data analytics, Teradata unleashes the potential of great companies. Partnering with top companies around the world, Teradata helps improve customer experience, mitigate risk, drive product innovation, achieve operational excellence, transform finance, and optimize assets. Teradata is recognized by media and industry analysts as a future-focused company for its technological excellence, sustainability, ethics, and business value.The Teradata culture isn’t just about one kind of person. So many individuals make up who we are, making us that much more unique. It’s what sets apart the dynamic, diverse and collaborative environment that is Teradata. But even as individuals, there’s one thing that we all share —our united goal of making Teradata and our people the best we can be.",Mid-Senior level,Full-time,"

              Engineering
 

              Information Technology
 
"
3,Senior Data Scientist - Ads,King,San Francisco Bay Area,"Computer,Games,Computer,Software,Entertainment","Activision Blizzard Media is a young and rapidly growing business that has been created to connect advertisers with our 195M + global consumer base. This thriving start-up effort, which is currently embedded in the business unit of King (the makers of the # 1 mobile game Candy Crush Saga) is rapidly scaling and is poised to become one of the largest advertising companies in the world. The business has been focusing on the introduction of premium, innovative advertising experiences to King's 195+ M casual gaming players. Looking ahead, we are planning the launch of advertising across the rest of the Activision Blizzard portfolio including high growth areas like eSports. This is a really exciting time to join this growing business. We are seeking a talented and creative Data Scientist interested in driving business decisions by understanding advertising performance within the gaming industry.Your role within our Kingdom Providing accurate data, insights and analysis for decision makers and stakeholders Designing, implementing, and analysing multivariate tests using relevant statistical methods Looking at ads from a network perspective, helping to drive a consistent approach within games teams and getting new teams up to speed Presenting and visualising results in a clear and concise way to senior management for decision making Analysing ads as a part of a larger ecosystem Skills to create thrills Capacity to deeply understand the problems the business wants to solve and define the right data-driven approach. Understanding of A/B tests a plus. Working with the product team to identify opportunities to optimize the ad experience and its effect on players Be a subject matter expert and analysis lead for ads products, helping game teams improve their analysis and use of ads as a revenue source Identify and disseminate best practices across Business Performance groups in terms of ads-related tools, systems and processes Identify new levers to move key business metrics Working alongside other highly skilled Data Scientists and Business Analysts, you'll be strategic in outlook and highly analytical in delivery with responsibility for using data to ensure we make the right business decisions Ad-hoc analysis - assist and resolve requests from the business (i.e. analyzing A/B tests, strange player behaviour, etc.) Create reports and dashboards that allow the advertising team to understand and optimize our advertising initiative using tools such as Python, R and Looker Bonus points Ability to analyze huge volumes of data from our advertising activities, by writing complex SQL queries and using tools such as Hive, Impala and Hadoop Ability to learn quickly and work in a fast paced, rapidly changing and collaborative environment, while communicating effectively with teams and individuals across King. The ability to write complex SQL queries and work effectively with both Hive/Impala Ability to identify the appropriate statistical techniques to use in different circumstances Able to develop good ways of communicating, visualising or reporting your results/analysis so they are clear and unambiguous. This will include building reports and presenting the results of your analysis using tools such as Looker, Qlik Sense and others An interest in and understanding of coding a plus BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical field A great saga needs all sorts of heroes Making games is fun. Especially when you do it with people who share the same idea of what makes a good workplace, great. We design games for everyone, no matter where they are or who they are, and we employ all sorts of people from all kinds of backgrounds to bring them to life. Truth is, we simply can’t expect diversity in our players and originality in our games without first nurturing it in our people. A great saga needs all sorts of heroes. And that’s it. We’re Seriously Playful Officially, we’re a leading interactive entertainment company for the mobile world. Unofficially, we’re a serious business that’s not afraid to have fun. Every day at King, we mix intuition with logic, art with science and magic with mathematics to create the games the world loves to play. Together with our parent company Activision Blizzard, our mission is to bring moments of magic to everyday life. If you think this is something you can help us achieve, let’s talk. Apply now! Want to join our Kingdom? You’ll find all you need to apply, plus more information on our culture, values and benefits, including relocation packages at jobs.king.com. All applications should be made in English.",Mid-Senior level,Full-time,"

              Science
 

              Research
 
"
4,Biostatistics Scientist,Bayer,"West Sacramento, CA, US","Consumer,Goods,Biotechnology,Pharmaceuticals","Your tasks and responsibilitiesWe are seeking a highly motivated scientist to join the Biologics R&D team as a Biostatistics Scientist I at our West Sacramento, California site. This is a highly interdisciplinary role that requires collaboration with internal and external collaborators in statistics, plant pathology, entomology, fermentation, chemistry and bioinformatics. The candidate will integrate data, make recommendations, produce statistical pipelines, and improve the overall quality and value of our data collection.The primary responsibilities of this role, Biostatistics Scientist I, are to:Develop and improve statistical tools for discovery and characterization of microbial compounds in vitro, in planta, and/or in field; Support bench scientist teams in the analysis of large data sets by integrating different data types into statistical frameworks; Train research staff on experimental design, basic statistical concepts, and the use of relevant statistical tools; Keep abreast of new statistical techniques, including technological developments in machine learning; Provide guidance to external collaborators regarding experimental design and/or statistical analysis; Be able to work with Data Engineers to translate statistical analyses and experimental designs into standardized pipelines; Be able to communicate effectively through listening, documentation, and presentation, especially using compelling visualization tools to share analysis and the interpretation of data.",Associate,Full-time,"

              Research
 

              Analyst
 

              Information Technology
 
"
0,"Scientist, Assays Design & Data Analytics (40)",Bristol-Myers Squibb,"Redwood City, CA, US","Biotechnology,Hospital,&,Health,Care,Pharmaceuticals","Scientist – Assays design & Data analyticsHiring Manager: Assays and HTP LeaderJob DescriptionWe are seeking a knowledgeable senior scientist with experience in automated assay and high-throughput protein production. The candidate will be expected to establish the assay and HTP production group to assist in antibody lead generation using state-of-the-art automated platforms.Specific Responsibilities Establish a high functioning assay and protein production group. Streamline hybridoma, antibody hit identification, and functional assays. Leverage automation to scale routine assays. Establish an automated high-throughput protein production platform. Interface with multiple discovery projects and matrix teams across the organization. Excellent written and oral skills are necessary Accomplish goals under project team time linesRequirements Ph.D. in Cell Biology, Immunology, Molecular Biology, or related field with 4+ years’ experience or an advanced degree with 8+ years relevant experience. Extensive experience in homogeneous (HTRF), plate-bound, flow cytometry, and imaging based cellular assay formats. Experience in cell based immune activation assays is desirable. Experience in using automated systems to express and purify small-scale proteins from mammalian expression systems is required. Knowledge and experience in antibody structure-function and hybridoma screening is desirable. Excellent time management, record keeping and organizational skills. Demonstrated ability to work in a multidisciplinary biologics discovery team.",Associate,Full-time,"

              Other
 
"
1,Senior Data Scientist,Allstate,"Menlo Park, CA",Insurance,"Where good people build rewarding careers.Think that working in the insurance field can’t be exciting, rewarding and challenging? Think again. You’ll help us reinvent protection and retirement to improve customers’ lives. We’ll help you make an impact with our training and mentoring offerings. Here, you’ll have the opportunity to expand and apply your skills in ways you never thought possible. And you’ll have fun doing it. Join a company of individuals with hopes, plans and passions, all using and developing our talents for good, at work and in life.Job Description&#13;Data Discovery and Decision Science (D3) is the research and analytics organization at Allstate.  We are solving some of today’s most complicated analytics problems, making the lives of our Allstate colleagues easier and more productive, and driving our mission to deliver perfect insurance solutions to our customers.  We are avid about learning and applying new tools and techniques to get the most value from our massive data resources.  As a Senior Data Scientist in D3, you will get 10% of your time to innovate, work on your own initiatives, learn, collaborate, and teach.  In partnership with technology and the business, we are incorporating analytics into every aspect of the enterprise.  We are deeply committed to developing ourselves and others as a path to success.In this role, you will help our Agency partners choose the best ways to integrate data and analytics into their operations by developing a framework to evaluate which opportunities for automation, self-service, and centralized service will have the biggest economic impact.  Your work will drive decisions about future operating models and compensation structures and help ensure that our customers get the highest possible quality of service. This work will include the development and management of new machine learning and predictive modeling algorithms, along with utilizing natural language processing techniques.  You&#39;ll be involved with the coding and development of tools that guide business decisions; searching for and integrating new data that improves our modeling and machine learning results (and ultimately our decisions) and discovery of solutions to business problems that can be solved through the use of these techniques. You will also begin to manage projects of medium complexity.Key ResponsibilitiesUses best practices to develop statistical, machine learning techniques to build models that address business needs.Manages data and data requests to improve the accuracy of our data and decisions made from data analysis.Uses and learns a wide variety of tools and languages to achieve results (e.g., R, SAS, Python, Hadoop).Identifies languages and tools that can bring efficiencies or needed techniques to the team.Works on data and business problems to drive improved business results through designing, building, and partnering to implement models.Collaborates the with team in order to improve the effectiveness of business decisions through the use of data and machine learning/predictive modeling.Understands the business’ problems to identify the optimal modeling approach.Communicates to team members, leadership and stakeholders on findings to ensure models are well understood and incorporated into business processes.Utilizes effective project planning techniques to break down moderately complex projects into tasks and ensure deadlines are keptWorks with leaders to ensure the project will meet their needs.The development and execution of a communication strategy, with appropriate coaching, that keeps all relevant stakeholders informed and provides an opportunity to influence the direction of the work.Reviews and evaluates on appropriateness of techniques, given current modeling practices, to senior leadership.&#13;Job Qualifications&#13;Degree in a quantitative field such as statistics, mathematics, computer science, financeMaster’s or PhD preferred in a quantitative field such as statistics, mathematics, computer science, finance, or economicsExperience in using statistical modeling and/or machine learning techniques to build models that have driven company decision makingExperience in managing and manipulating large, complex datasetsExperience in working with statistical software such as SAS, SPSS, MatLab, R, CART, etc.Understanding of the Insurance market place; economics and regulation preferredAbility to code and develop prototypes in languages such as Python, Perl, Java, CKnowledge of advanced modeling techniqueAbility to analyze and interpret moderate to complex concepts Ability to provide written and oral interpretation of highly specialized terms and data, and ability to present this data to others with different levels of expertiseDemonstrated analytic agility&#13;The candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen.Good Work. Good Life. Good Hands®. As a Fortune 100 company and industry leader, we provide a competitive salary – but that’s just the beginning. Our Total Rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k). Plus, you’ll have access to a wide variety of programs to help you balance your work and personal life -- including a generous paid time off policy.Learn more about life at Allstate. Connect with us on Twitter, Facebook, Instagram and LinkedIn or watch a video.Allstate generally does not sponsor individuals for employment-based visas for this position.Effective July 1, 2014, under Indiana House Enrolled Act (HEA) 1242, it is against public policy of the State of Indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the United States, a member of the Indiana National Guard or a member of a reserve component. For jobs in San Francisco, please click ""here"" for information regarding the San Francisco Fair Chance Ordinance. For jobs in Los Angeles, please click ""here"" for information regarding the Los Angeles Fair Chance Initiative for Hiring Ordinance.It is the policy of Allstate to employ the best qualified individuals available for all jobs without regard to race, color, religion, sex, age, national origin, sexual orientation, gender identity/gender expression, disability, and citizenship status as a veteran with a disability or veteran of the Vietnam Era.ABC",Mid-Senior level,Full-time,"

              Analyst
 

              Research
 

              Science
 
"
2,Sr. Data Scientist,Nielsen,"San Francisco, CA, US","Market,Research,Management,Consulting","Sr. Data Scientist - 22265Data Science - USA San Francisco, CaliforniaNielsen is the largest measurement company in the world with unique measurement technologies, assets, and data that make it one of the most interesting and challenging places for a data scientist to work. We focus on what consumers watch, listen to, and buy in over 95 countries.Data Science is core to what Nielsen does, and our research projects have high visibility in directly affecting the results of our business and our clients. This Senior Data Scientist role in the Digital Product team provides an opportunity to contribute to methodological innovation in the exciting and fast-changing world of digital media measurement.This is an ideal position to grow as a researcher, contribute to innovative products, and develop subject-matter expertise in digital methodology and cross-platform audience measurement.The Digital Product team within the Data Science Watch organization focuses on improving and enhancing Nielsen’s highly successful products out in the marketplace for digital advertising and content measurement. As part of this exciting team, this position will focus on developing new methodologies to measure digital audience across platforms (including on “connected” or “over the top” devices) and on evaluating and integrating new data assets and partners into Nielsen’s existing methodologies in order to enhance or expand the data delivered to clients. QualificationsSkills Required:This position requires a detail-oriented person who has experience in big data analysis using multiple data sources and statistical research, and who enjoys working in a fast-paced environment. Ability to problem-solve, work independently, lead key initiatives and see the big picture are keys to success in this position. Bachelor’s in statistics, quantitative social sciences, economics, operations research, or hard sciences (e.g. engineering, computer science, biology, physics, etc.) with outstanding analytical expertise and strong technical leadership 2 - 4 years of work experience focusing on the following: Creating, organizing, analyzing, and correcting very large datasets using statistical modelsCoding in data science-related programming languages; required experience with PythonProficiency in SQL & big data technologies. Leading and managing complex projects with multiple stakeholdersExcellent communication & presentation skills (written and verbal) Demonstrated experience working in teams Industry knowledge of digital audience/media measurement Ability to work independently and solve complex problems Skills Desired Master’s in statistics, data science, applied mathematics, economics, quantitative social sciences, operations research, or hard sciences Experience working with global cross-functional teams of various sizes Experience with data visualization tools (e.g. Tableau, Spotfire) Experience with machine learning techniques Experience working with cloud based technologies (e.g. Databricks)Key Responsibilities Develop new methodologies to measure cross-platform audience on new digital devices and platforms, leveraging data from multiple sources (including 3rd party)Evaluate quality and accuracy of demographic data from these sources, using statistical models and existing Nielsen data assets Develop processes to implement, maintain, and enhance these methodologies in client-facing products Act as a liaison and subject matter expert with key internal stakeholders (e.g. application development, engineering, client business partners)Stay up to date on industry changes to digital measurement (e.g., new devices and platforms, privacy laws updates, changes in browser/app measurement, etc.) and critically assess how it would impact Nielsen measurement. Engage in discussions on strategic direction of product from a client perspective. Stay informed of new research and developments in the field Confidently represent Data Science methods and approaches to internal and external partners and clients. Participate in internal and external knowledge exchanges (conferences, workshops, webinars). About NielsenNielsen N.V. (NYSE: NLSN) is a global performance management company that provides a comprehensive understanding of what consumers Watch and Buy. Nielsen’s Watch segment provides media and advertising clients with Total Audience measurement services across all devices where content — video, audio, and text — is consumed. The Buy segment offers consumer packaged goods manufacturers and retailers the industry’s only global view of retail performance measurement.By integrating information from its Watch and Buy segments and other data sources, Nielsen provides its clients with both world-class measurement as well as analytics that help improve performance. Nielsen, an S&P 500 company, has operations in over 100 countries that cover more than 90 percent of the world’s population. For more information, visit www.nielsen.comNielsen is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class.Job Type: RegularPrimary Location: San Francisco , CaliforniaSecondary Locations: FL - Tampa - Oldsmar, IL - Chicago, MD - Columbia,Travel: Yes, 10% of the Time",Not Applicable,Full-time,"

              Engineering
 

              Information Technology
 
"
3,"Senior Data Scientist  - Shanghai, China",Ford Motor Company Asia Pacific,San Francisco Bay Area,Automotive,"Special Note: The Working Location of this poistion is Shanghai, China.  The Global Data Insight and Analytics (GDI&A) department at Ford Motor Company is looking for a qualified person to fill the position of Supervisor, Data Operations, a critical enabler to the development of Ford’s Data Supply Chain (DSC). GDI&A’s mission is to drive evidence-based decision making by providing actionable insights from data.In the role of Data Operations Supervisor, potential candidate should ensure that overall data standards, information interoperability, data quality, and data availability fully support the goals of GDI&A. The candidate should work closely together with GDI&A Analytics Teams, IT Data Supply Chain Teams, GDIA Data Governance, the Business, and the external solution partners to drive alignment and delivery of the DSC and bring data up to quality required to deliver on the business objectives. The candidate is expected to support prioritized Analytics projects to improve delivery of business value by providing thought and technology leadership as the data SME in GDI&A. Key Roles and Responsibilities:Establish data standards, data quality benchmarks, and drive improvements to data quality to improve analytic outcomesManage a team of data stewards who consult with analytics teams, GDI&A management, executive sponsors, business partners to provide data domain expertiseDrive full use of data by creating Data Stewards who manage domain data in DSCCollaborate with global Data Governance and Data Acquisition teams to establish and drive similar process and principles in APProvide thought leadership in data management required to deliver business objectivesAlign business and GDI&A stakeholders to drive results (issue resolution, risk mitigation, issue avoidance)Interface with management, business customers, vendors and other GDI&A groupsProvide departmental feedback to other GDI&A groups regarding processes and standards Qualifications:Masters or Doctor's degree in Computer Science, Engineering, Statistics, Economics or equivalent experience in a relevant field with 7-10 years of work experienceAt least 5 years of progressive responsibilities managing data and data processesDemonstrated ability to develop / lead a teamStrong collaboration and influencing skills, and the ability to energize a cross-functional teamDemonstrated problem formulation skills with the ability to take complex problems and break them down to create and implement an action planSolid communication skills in English and ChineseStrong ability to effectively communicate information and ideas in written and verbal formats, including process documentation",Mid-Senior level,Full-time,"

              Analyst
 

              Engineering
 

              Science
 
"
4,Senior Data Scientist- ML and AI,Ericsson,"Santa Clara, CA, US",Telecommunications,"Ericsson OverviewEricsson is world’s leading provider of communications technology and services. Our offerings include services, consulting, software and infrastructure within Information and Communications Technology.Using innovation to empower people, business and society, Ericsson is working towards the Networked Society: a world connected in real time that will open up opportunities to create freedom, transform society and drive solutions to some of our planet’s greatest challenges.We are truly a global company, operating across borders in over 180 countries, offering a diverse, performance-driven culture and an innovative and engaging environment. As an Ericsson employee, you will have freedom to think big and the support to turn ideas into achievements. Continuous learning and growth opportunities allow you to acquire the knowledge and skills necessary to progress and reach your career goals. We invite you to join our team.Our Exciting OpportunityIt will be practically impossible for human brains to understand how to run and optimize next generation of wireless networks, i.e., 5G network with distributed edge compute, that will drive economic and social transformation for all aspects of society. Machine Learning (ML) and other Artificial Intelligence (AI) technologies will be vital for us to handle this opportunity. We are setting up a Global AI Accelerator in the US, Sweden and India, with 300 experts, to fast-track our strategy execution.Machine Intelligence, the combination of Machine Learning (ML) and other Artificial Intelligence (AI) technologies is what Ericsson uses to drive thought leadership to automate and transform Ericsson offerings and operations. MI is also a key competence for to enable new and emerging business. This includes development of models, frameworks and infrastructure where we in our advancements push the technology frontiers. We engage in both academic and industry collaborations and drive the digitalization of Ericsson and the Industry by developing state of the art solutions that simplify and automate processes in our products and services and build new value through data insights.Ericsson is now looking for Senior Data Scientists to significantly expand its global team for AI acceleration.Do you have in depth understanding of ML and AI technologies?Do you want to apply and extend those skills to solve real complex problems with high societal impact; going beyond ML/AI for consumption and advertising?Then, you do want to join Ericsson’s global team of Data Scientists pushing the technology frontiers to automate, simplify and add new value through large and complex data.Role SummaryAs a Senior Data Scientist, you will need to have strong programming skills and deep understanding of data science and Machine Learning tools. Have proven experience in Data Science methodologies and how to apply them to solve challenging real-world problems as part of a highly dynamic and global team. You have strong communication, collaboration and planning skills. You will be working on high impact initiatives with other specialists in Machine Intelligence to drive growth and economic profitability for Ericsson and its customers by accelerating current Ericsson offerings as well create new offerings in the areas of MI driven 4G and 5G network, distributed cloud, IoT and other emerging businesses.Your Roles And ResponsibilitiesLead functional and technical analysis within Ericsson businesses and for strategic customers to understand MI-driven business needs and opportunitiesContribute to rapid and iterative development of validated minimum viable solution addressing these needs. This includes working with petabytes of 4G/5G-networks, IoT and exogenous data, and proposing/selecting/testing predictive models, recommendation engines, anomaly detection systems, statistical model, deep learning, reinforcement learning and other machine learning systemsLead studies and creative usage of new and/or existing data sources. Work with Data Architects to leverage existing data models and build new ones as needed.Collaborate with product development teams and partners in Ericsson Businesses to industrialize machine learning models and solutions as part of Ericsson offerings including providing source code, workflows and documentsWork with new technologies and be the ambassador for them in MI Communities within Ericsson, nurturing the communities and mentoring junior data scientists.Provide MI Competence build-up in Ericsson Businesses and Customer Serving UnitsDevelop new and apply/extend existing, concepts, methodologies, techniques for cross functional initiativesEngage with external ecosystem (academia, technology leaders, open source etc.) to develop the skills and technology portfolio for MI’s needsPresent and be prominent in MI related forums and conferences, e.g., presenting papers, organizing sessions and be a panelistTo be successful; one should have:BS, MS, or PhD in Computer Science, Computer Engineering, Mathematics, Physics, Economics, or related fieldApplied Experience: 5+ years of work or research experience in data science.Strong knowledge in Statistics, e.g., descriptive analysis and supervised and unsupervised analysis, and Machine Learning e.g., linear/logistics regression discriminant analysis, bagging, random forest, Bayesian model, SVM, neural networks, etc.Experience with Big Data technologies such as Hadoop, Cassandra etc.Extensive experience in model development and life-cycle-management in one or more industry/application domain using various languages (C++, Scala, Java, R) with proficiency in Python and/or C++Strong skills in the use of current state of the art machine learning frameworks such as Scikit-Learn, H2O, Keras, TensorFlow and Spark, etc.Demonstrated ability to implement new algorithms and methodologies from leading open source initiatives and research papers addressing their functionalities, scalability and overall industrialization viabilityYou should also have:Certifying MI MOOCS, a plusApplications/Domain-knowledge in Telecommunication and/or IoT, a plus.Ability to build and nurture internal and external communitiesExperience with data visualization and dashboard creation is a plusAbility to work independently with high energy, enthusiasm and persistenceGood communication skills in written and spoken EnglishExperience in partnering and collaborative co-creation, i.e., working with complex multiple stakeholder business units, global customers, technology and other ecosystem partners in a multi-culture, global matrix organization with sensitivity and persistenceExperience in writing and presenting white papers, journal articles and technical blogs on the resultsDISCLAIMER: The above statements are intended to describe the general nature and level of work being performed by employees assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of employees assigned to this position. Therefore employees assigned may be required to perform additional job tasks required by the manager.We are proud to be an EEO/AA employer M/F/Disabled/Veterans. We maintain a drug-free workplace and perform pre-employment substance abuse testing.Ericsson provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, marital status, pregnancy, parental status, national origin, ethnic background, age, disability, political opinion, social status, protected veteran status, union membership or genetics information. Ericsson complies with applicable country, state and all local laws governing nondiscrimination in employment in every location across the world in which the company has facilities. In addition, Ericsson supports the UN Guiding Principles for Business and Human Rights and the United Nations Global Compact.This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, training and development.Ericsson expressly prohibits any form of workplace harassment based on race, color, religion, sex, sexual orientation, gender identity, marital status, pregnancy, parental status, national origin, ethnic background, age, disability, political opinion, social status, protected veteran status, union membership or genetic information.Ericsson will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by Ericsson or (c) consistent with Ericsson’s legal duty to furnish information.Employee Polygraph Protection Act Notice - Employers are generally prohibited from requiring or requesting any employee or job applicant to take a lie detector test, and from discharging, disciplining, or discriminating against an employee or prospective employee for refusing to take a test or for exercising other rights under the Act. For more information, visit https://www.dol.gov/whd/regs/compliance/posters/eppac.pdf.Ericsson is an equal opportunity employer and is committed to providing reasonable accommodation for qualified disabled individuals during the application and hiring process. Ericsson will make modifications or adjustments to the job application or interview process that will enable a qualified applicant to be considered for a position. If you require an accommodation due to a disability, please contact Ericsson at hr.direct.dallas@ericsson.com or (866) 374-2272 (US) or (877) 338-9966 (Canada) for further assistance.Primary country and city: United States (US) || || Santa Clara || Consulting&SysInt",Not Applicable,Full-time,"

              Engineering
 
"
