id,title,company,location,description,time_posted
ed70cdc47e78e81b,Reporting and Data Analyst,Plethora,"San Francisco, CA 94124","Plethora is building the future of manufacturing - a new kind of robotic factory that automatically turns digital designs into physical products in days not months. We are uniquely ambitious and you should be too. This organization produces novel software, hardware, and fully-integrated systems. The ideal candidate will be comfortable in a quick-moving startup work environment.

We're looking for an talented, self-motivated, clear-thinking Reporting and Data Analyst to support our business. You will gather, assess, and manage data to transform it into reports, analysis, and insights. This position reports to the Director of Business Analytics, and is a role that will have broad exposure, visibility and impact throughout the organization.

Qualifications

For this junior position we are looking for 1-2 years of full time working experience.
Bachelor's degree involving analytical work or equivalent practical experience.
Ability to prioritize multiple conflicting priorities while driving towards pragmatic decisions/actions.
Skills / Experience

You will be asked to demonstrate these through work samples and a quick skill test:

Experience rapidly running and validating ad hoc reports and developing and maintaining self-updating reports like dashboard and KPIs in Tableau, Excel, Google Sheets or similar.
Skill troubleshooting and validating results.
Ability to communicate complex findings in non-technical language, with clarity and structure.
Ability to pull data using SQL with temp tables or CTE.
Responsibilities

Generate ad hoc reports for various stakeholders throughout the company
Develop self-serve reporting tools and the underlying data structure
Create dashboards and KPIs
Work with non-technical business users to understand their analytical needs, document and prioritize requirements, and to help them effectively use the data and analytical tools that the team has developed.
Work with business stakeholders and engineering teams to validate data, identify gaps and contribute to changes in business processes and data pipelines to fix data gaps.
Manage projects and drive analytical projects end to end.
All candidates must be authorized to work in the US.",30+ days ago
5350f32d3ea00d00,DATA ANALYST,Jamul Casino,"Jamul, CA","Your daily responsibilities include:
ESSENTIAL DUTIES AND RESPONSIBILITIES
The following and other duties may be assigned as necessary:
Provide friendly, fast, and helpful customer service to all guests and team members.
Responsible for directing the overall operations and staff of the Analysis department. Develops, implements and manages operational goals and monitors achievements of performance and profit objectives.
Ensures that scheduling is done in an effective and efficient manner, while maintaining labor costs, meeting staffing objectives and achieving deadlines.
Responsible for preparing, monitoring and adhering to budgets and ensuring compliance to departmental budget initiatives. Reports budget concerns / deviations to the Executive Management / GM.
Proactively seeks out margin enhancement opportunities and provides recommendations with relative departments and implements change through data driven solutions.
Identify Market trends develop strategies to address potential concerns
Primarily responsible for short and long term financial analysis for the property including labor, and financial data reporting. Exercise discretion and independent.
Calculates profitability of marketing programs. Analyze results to identify opportunities for improving efficiency of marketing expenditures. Communicate findings to executive team.
Oversees all aspects of preparing the annual budget.
Compares actual operating results to budget and prior year. Summarize key findings and communicate to executive management. Make recommendation for improving EBITDA.
Develops presentations for budget meetings and operational reviews.
Presents and discusses analyses with high level executives.
Develops, maintains and distributes key operating metrics to evaluate attainment of company’s operating, service and financial objectives.
Monitors labor costs and identify opportunities to improve efficiencies.
Performs queries of various databases to extract data for use in analysis.
Prepares ad-hoc analysis as needed.
Enthusiastically supports, actively promotes, and demonstrates superior customer service in accordance with department and company standards and programs. Ensures customer service standards are followed by all team members and addresses issues as they arise. Responsible for the overall achievement of department customer service goals.
Responsible for ensuring the compliance with all regulatory compliance within area of responsibility and reporting potential issues to Executive Management / GM.
Maintains strict confidentiality in all departmental and company matters.
To be successful in this position it will require the following skill set:
QUALIFICATION REQUIREMENTS
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Must be at least 21 years of age.

Bachelor's degree or higher from a four-year college or university in Finance, Accounting, Economics, Business Administration, Computer Science or related field or equivalent experience
Pursuing on-going skill development in the areas of financial modeling and analysis and project management.
At least 21 years of age.
Advanced skills in Tableau, SQL, Microsoft Excel, Access, and PowerPoint.
Advance knowledge of data analysis and automation principles.
Ability to collect relevant data, structure data models, execute and interpret quantitative data.
Self-directed and outgoing, highly skilled in financial modeling and BI programming, capable of handling high exposure projects, and receptive to coaching and feedback.
Ability to produce results by working within established time frames/deadlines and understanding potential barriers and next steps.
Proven ability to handle sensitive information in a confidential manner.
Ability to write effective reports and memos.
Excellent organizational skills.
Proven experience working in a methodical, and detail-oriented environment.",30+ days ago
05bc7ded90d40562,Senior Business Data Analyst- Digital,National Funding,"San Diego, CA 92121","Are you?

Excited to influence business decisions with data- driven insights?
Awesome with Google Analytics, AdWords, and SQL?
Looking to collaborate with stakeholders as a strategic thought partner?
If the above describes YOU, keep reading for more details about this opportunity:

Based out of La Jolla, California, National Funding, an innovator and leader in the financial technology industry, is seeking a Senior Business Data Analyst focused on our digital marketing channels. National Funding has experienced double digit growth for many years and that growth is expected to continue. Our new Senior Business Data Analyst will contribute to that growth by delivering insights and recommendations that drive business decisions in our digital marketing strategy.

How you will make an impact:
Partner with Marketing Managers, Sales, and executives as a strategic thought partner to deliver key insights from web tracking metrics
Study website behavior patterns to analyze and optimize business results and user experience
Synthesize data from multiple sources, developing assumptions where needed, to drive customer insights and strategy development
Coordinate with external partners and business stakeholders to develop actionable dashboards which present the end to end funnel metrics, contributing to the development of hypotheses and actions
Collaborate with Marketing to measure impact of website strategy across all campaign channels and to refine strategy driven by data-based insights
Work with stakeholders to develop learning plans with recommendations of analytics approaches, including A/B testing
Ensure site tagging is implemented properly to provide visibility to impact and value of various initiatives and releases
An ideal candidate looks like this:
5-8 years of experience in web analytics decision support and website optimization
Deep subject matter expertise with Google Analytics and SQL; experience with Google AdWords, Google Webmaster tools and Google Tag Manager a plus
Solid understanding of Paid Search, SEO, and other digital marketing channels such as Affiliate, Social, and Display
Strong analytical and problem solving skills
Experience with Tableau (or similar data visualization tools such as Spotfire, PowerBI, QlikView, etc.)
Proven ability to tell stories with data and instill confidence in recommendations to motivate stakeholders to take action
Outstanding communication skills with both technical and non-technical colleagues
Prefer candidates with experience with CRM systems (Salesforce)
Prefer candidates with experience in Finance, Mortgage, Banking
Why National Funding?

Positive, energetic, passionate, business casual environment
Fantastic benefits package including medical, dental, vision, life, LTD, FSA, 401(k) with an employer match and PTO
Numerous employee events throughout the year including our annual traditions such as a Day at the Del Mar Racetrack, Del Mar Mud Run, Bring Your Kid to Work Day, Holiday Party, Employee and Family Picnic, sporting events, and more
National Funding is one of the leading providers of short term loans and equipment leasing for small businesses across the United States. For five years running, we've been ranked by the San Diego Business Journal as one of the 100 Fastest Growing Private Companies in San Diego and listed on the Inc. 5000 List of America's Fastest Growing Private Companies. Since 1999, we have been in the forefront of the equipment leasing business, working with businesses in hundreds of communities and industries to expand and upgrade their business equipment. As we have grown, so too has our product line, and now we are one of the country's largest private lenders of small business loans. Our customers call on us to get working capital, merchant cash advances, credit card processing, and, of course, equipment leasing.",30+ days ago
ed20079114ebfe93,Data Analyst,Peterson Trucks,"San Leandro, CA","Peterson Holding has an immediate need for an experienced Data Analyst at our San Leandro, CA location.

About Us:
At Peterson our Vision is to be our customers’ first choice. We put our customers first and continually strengthen our partnerships through our employee’s hard work, ingenuity and determination. Our 80 year history is a reflection of our collective efforts and focus.

We provide a family oriented environment that promotes safety, personal growth and professional achievement. Critical to our continued success is hiring and developing exceptional employees. We are deeply committed to providing an environment necessary to attract and retain engaged employees who will relentlessly strive to reach Peterson’s strategic goals and vision. We have high standards for our employees, with good reason. They represent Peterson, our family, our brand, and our values to customers and our team members.

Why Peterson?
We have high expectations and so do you. You are exceptionally motivated, have outstanding skills, and are looking for more than just a job. We offer competitive wages, generous benefits, and promotional opportunities at a family owned and operated business that really cares about employees. If you want to work side-by-side with others who are passionate about customer service, consider joining our team. You can help us write more chapters in our success story as we move towards celebrating our 100 year anniversary.


Responsibilities
The Data Analyst is responsible for providing strategic support by gathering data across the organization and delivering reports and analysis on both a routine and project-oriented basis. The Data Analyst must have excellent verbal and written communication skills, familiarity with database systems and programming, and a strong commitment to delivering the highest level of customer service.
After monthly/quarterly/annual close, perform routine data gathering and reporting.
Update financial data analysis workbooks. Collaborate with accounting to reconcile discrepancies, and make and document updates as business needs change.
Use automated reporting tools to prepare and distribute management reports, validating and updating the automated reporting tools as needed to ensure accuracy.
Provide follow-up analysis and custom reports for internal and external use as needed.
Provide analysis and assistance in support of the finance team.
Contribute to the design, development, and maintenance of reports, analyses, and dashboards.
Make recommendations for new metrics to help drive business decisions.
Examine historical and forecast financial data to highlight trends, model scenarios, and conduct impact evaluation.
Launch projects with internal groups to develop new in-house productivity/automation tools.
Meet with process owners and other stakeholders to review current processes, evaluate opportunities for automation, and document project scope.
Using VBA or other technologies as deemed appropriate, develop and test applications to fit stakeholder requirements.
Debug and maintain existing applications as business needs change.

Qualifications
EDUCATION and/or EXPERIENCE
Bachelor's degree (B. A.) from four-year College or University in Business, Finance, Accounting or related field; and one (1) year related experience in finance or accounting; and/or training; or equivalent combination of education and experience.
Ability to read, analyze, and interpret general business periodicals, professional journals, technical procedures, or governmental regulations. Ability to write reports, business correspondence, and procedure manuals.
Ability to effectively present information and respond to questions from groups of managers, clients, customers, and the general public.
Ability to calculate figures and amounts such as discounts, interest, commissions, proportions and percentages. Ability to apply concepts of basic algebra and geometry. Understanding of probability and statistics.
Must be adept at using various applications including database, spreadsheet, report writing, project management, word processing, presentation creation/editing, communicate by e-mail and use scheduling software.
Peterson Holding Company is committed to equal employment opportunity and affirmative action. Minorities, females, veterans, and individuals with disabilities are encouraged to apply. A drug screen and background check is required.",22 hours ago
9e4f8136d5fbc814,Data Analyst,Ross Stores,"Dublin, CA 94568","GENERAL PURPOSE:

The Data Analyst role is to provide critical capacity analysis for the Store Planning & Design department for numerous projects & initiatives. Along with these core responsibilities, the Analyst will also support ad-hoc Merchandising/NYBO requests and support the department with tools and software updates.

ESSENTIAL FUNCTIONS:

Lead all Capacity Planning Project work-streams to help identify current Capacity Constraints in our New Stores and Comp Stores
Become a subject matter expert on all fixture capacity and product linear per foot analysis by executing product measurement and proposing potential capacity changes to Store Operation Executives
Identify new stores that are exceeding their opening sales proforma and capacity within their first calendar year. Manage & facilitate the new store runaway initiative recapping their findings on stores requiring fixture support
Manage and facilitate the “Capacity Analysis Report” which entails running a macro program generating reports & emails to all Ross stores and field leadership on monthly basis. This report reflects forecasted units and their fixture component needs.
Maintain an accurate store Capacity Planning Model for both brands, by executing regular updates to the fixture data base, inventory projections, and underlying model assumptions
Produce user-friendly reporting for business partners on a consistent basis to identify optimal fixture needs by store
Identify opportunities to improve the accuracy and efficiency of the Capacity Planning model and process
Support ad-hoc corporate & field requests for Capacity Planning related analysis
Document Capacity Planning processes and model operation
Perform practical, action-oriented, and comprehensive data analysis on an ad-hoc basis to support the Store Operations Organization
Manage and execute Merchandising/NYBO ad hoc requests (e.g., Jewelry Capacity, Shoe Capacity, Selling Square Footage for both Ross & dd’s). Responsible for looking up store specific capacity for all stores and brands comparing to either historical or forecasted units and providing a point of view on stores that require capital funding support
Design and conduct ad-hoc analysis of key initiatives to support 5-year Capital Planning
Perform department tools and software updates as business dictates
Manage and support any new software tools that would support process improvements and company software updates
Update the MerchLogix software system with new store information by uploading store specific excel data inputs.
Manage and maintain the Master Stat Sheet by updating projected growth by department, run rate, and master mapping of unit per linear foot.
COMPETENCIES:
Analysis and Judgment
Quality Control
Written Communication
Collaboration
Planning and Organizational Skills
Initiative
Drive for Results
QUALIFICATIONS AND SPECIAL SKILLS REQUIRED:
Bachelor’s Degree in Business or related analytical fields
Minimum of 2-3 years of work experience in an analyst role is required.
Excellent verbal and written communication skills and the ability to interact professionally with a diverse group – executives, managers, and subject matter experts within and outside of the department.
Strong decision-making skills with the ability to analyze situations and make logical conclusions.
Able to handle service matters professionally, confidentially, and quickly.
Must be self-reliant and self-assured to make independent decisions within framework of company protocol.
Advanced MS Excel skills - using Excel, Access, Word, PowerPoint, and Outlook
Ability develop modules using Microsoft’s Office VBA
Ability to develop templates and user forms, and rapid distribution of updates
Ability to reference and enable network connections (SQL query development)
Competence in importing VBA object libraries
Creation of pivot tables, bar graphs, and spreadsheets using Excel
Ability to apply V-lookups to project Excel worksheets
Microsoft Outlook for email and calendar
PHYSICAL REQUIREMENTS/ADA:

Job requires ability to work in an office environment, primarily on a computer.
Requires sitting, standing, walking, hearing, talking on the telephone, attending in-person meetings, typing, and working with paper/files, etc.
Consistent timeliness and regular attendance.
Vision requirements: Ability to see information in print and/or electronically.
Local travel up to 5% may be required. Travel or other inconveniences have advanced notice.

SUPERVISORY RESPONSIBILITIES:

None

DISCLAIMER:

This job description is a summary of the primary duties and responsibilities of the job and position. It is not intended to be a comprehensive or all-inclusive listing of duties and responsibilities. Contents are subject to change at management’s discretion.

Ross is an equal employment opportunity employer. We consider individuals for employment or promotion according to their skills, abilities and experience. We believe that it is an essential part of the Company’s overall commitment to attract, hire and develop a strong, talented and diverse workforce. Ross is committed to complying with all applicable laws prohibiting discrimination based on race, color, religious creed, age, national origin, ancestry, physical, mental or developmental disability, sex (which includes pregnancy, childbirth, breastfeeding and medical conditions related to pregnancy, childbirth or breastfeeding), veteran status, military status, marital or registered domestic partnership status, medical condition (including cancer or genetic characteristics), genetic information, gender, gender identity, gender expression, sexual orientation, as well as any other category protected by federal, state or local laws.

'170263

GENERAL PURPOSE:

The Data Analyst role is to provide critical capacity analysis for the Store Planning & Design department for numerous projects & initiatives. Along with these core responsibilities, the Analyst will also support ad-hoc Merchandising/NYBO requests and support the department with tools and software updates.

ESSENTIAL FUNCTIONS:

Lead all Capacity Planning Project work-streams to help identify current Capacity Constraints in our New Stores and Comp Stores
Become a subject matter expert on all fixture capacity and product linear per foot analysis by executing product measurement and proposing potential capacity changes to Store Operation Executives
Identify new stores that are exceeding their opening sales proforma and capacity within their first calendar year. Manage & facilitate the new store runaway initiative recapping their findings on stores requiring fixture support
Manage and facilitate the “Capacity Analysis Report” which entails running a macro program generating reports & emails to all Ross stores and field leadership on monthly basis. This report reflects forecasted units and their fixture component needs.
Maintain an accurate store Capacity Planning Model for both brands, by executing regular updates to the fixture data base, inventory projections, and underlying model assumptions
Produce user-friendly reporting for business partners on a consistent basis to identify optimal fixture needs by store
Identify opportunities to improve the accuracy and efficiency of the Capacity Planning model and process
Support ad-hoc corporate & field requests for Capacity Planning related analysis
Document Capacity Planning processes and model operation
Perform practical, action-oriented, and comprehensive data analysis on an ad-hoc basis to support the Store Operations Organization
Manage and execute Merchandising/NYBO ad hoc requests (e.g., Jewelry Capacity, Shoe Capacity, Selling Square Footage for both Ross & dd’s). Responsible for looking up store specific capacity for all stores and brands comparing to either historical or forecasted units and providing a point of view on stores that require capital funding support
Design and conduct ad-hoc analysis of key initiatives to support 5-year Capital Planning
Perform department tools and software updates as business dictates
Manage and support any new software tools that would support process improvements and company software updates
Update the MerchLogix software system with new store information by uploading store specific excel data inputs.
Manage and maintain the Master Stat Sheet by updating projected growth by department, run rate, and master mapping of unit per linear foot.
COMPETENCIES:
Analysis and Judgment
Quality Control
Written Communication
Collaboration
Planning and Organizational Skills
Initiative
Drive for Results
QUALIFICATIONS AND SPECIAL SKILLS REQUIRED:
Bachelor’s Degree in Business or related analytical fields
Minimum of 2-3 years of work experience in an analyst role is required.
Excellent verbal and written communication skills and the ability to interact professionally with a diverse group – executives, managers, and subject matter experts within and outside of the department.
Strong decision-making skills with the ability to analyze situations and make logical conclusions.
Able to handle service matters professionally, confidentially, and quickly.
Must be self-reliant and self-assured to make independent decisions within framework of company protocol.
Advanced MS Excel skills - using Excel, Access, Word, PowerPoint, and Outlook
Ability develop modules using Microsoft’s Office VBA
Ability to develop templates and user forms, and rapid distribution of updates
Ability to reference and enable network connections (SQL query development)
Competence in importing VBA object libraries
Creation of pivot tables, bar graphs, and spreadsheets using Excel
Ability to apply V-lookups to project Excel worksheets
Microsoft Outlook for email and calendar
PHYSICAL REQUIREMENTS/ADA:

Job requires ability to work in an office environment, primarily on a computer.
Requires sitting, standing, walking, hearing, talking on the telephone, attending in-person meetings, typing, and working with paper/files, etc.
Consistent timeliness and regular attendance.
Vision requirements: Ability to see information in print and/or electronically.
Local travel up to 5% may be required. Travel or other inconveniences have advanced notice.

SUPERVISORY RESPONSIBILITIES:

None

DISCLAIMER:

This job description is a summary of the primary duties and responsibilities of the job and position. It is not intended to be a comprehensive or all-inclusive listing of duties and responsibilities. Contents are subject to change at management’s discretion.

Ross is an equal employment opportunity employer. We consider individuals for employment or promotion according to their skills, abilities and experience. We believe that it is an essential part of the Company’s overall commitment to attract, hire and develop a strong, talented and diverse workforce. Ross is committed to complying with all applicable laws prohibiting discrimination based on race, color, religious creed, age, national origin, ancestry, physical, mental or developmental disability, sex (which includes pregnancy, childbirth, breastfeeding and medical conditions related to pregnancy, childbirth or breastfeeding), veteran status, military status, marital or registered domestic partnership status, medical condition (including cancer or genetic characteristics), genetic information, gender, gender identity, gender expression, sexual orientation, as well as any other category protected by federal, state or local laws.

'170263",30+ days ago
20414536a3de87a5,Data Analyst - Sports Media,Harnham US,"San Francisco, CA","$80,000 - $120,000 a year
Data Analyst - Sports Media
San Francisco Bay Area
$80,000-120,000

The Company:
Harnham has recently partnered with a rapidly growing Sports Media company. This San Francisco based company is scaling massively and they are looking to build out a robust analytics team to utilize data to optimize article performance. As a leader in the Sports Media industry, you will have the rare opportunity to combine your passion for analytics and sports!

About This Job:
They are building out their analytics function and are looking for an experienced analyst to join their team and work closely alongside some of the leading editors and writers in the sports media industry. Essentially this person will be tasked with analyzing the content performance across different sports articles and drive strategy to increase engagement.


Responsibilities:
Expert level SQL skills with some exposure to R or Python
Exposure analyzing content, campaign, media analytics in a previous role is a must
Examples of results and impact driven by your analysis regarding guiding high level decision making
Excellent communication skills and ability to work with stakeholders across different teams such as Growth, Product, and Marketing
Previous experience at content driven company


The Perks:
Working at a company that is driven by sports and data
Having high level discussions with some of the biggest names in Sports Media
Office conveniently located near public transportation

Please express interest by following the ""Apply"" link or this page or by sending your CV to Isabella Arellano at",1 day ago
ec17debeed833e37,Data Analyst,ResMed,"San Diego, CA 92123","Data Analyst

Imagine what you could accomplish if you could drive positive change every single day. At ResMed, you can find out. As the leader in sleep and respiratory disorder solutions, our work changes lives with every breath.
Digital Health Technology team powers digital experiences and engagement to enhance the lives of millions of people every day through connected care. We build, deliver and manage a portfolio of data management platforms and mobile offerings in support of our core businesses. We thrive on simple and elegant architecture and agility. You’ll be immersed in a dynamic high-growth environment and empowered to excel, take informed risks, and drive ingenuity across the enterprise.
Let’s talk about the team and you:
We are currently seeking applications for the role of Data Analyst to work in our Digital Health Technology Team to design and develop the data systems to ensure Operations team members have the product, support, and operations data they need to make crucial decisions. As a Data Analyst, you’ll have the opportunity to design innovative data solutions and solve challenging problems using ResMed’s large-scale production data infrastructure. In addition, you will design and implement Machine Learning solutions for operations teams.
Responsibilities will also include:
Designing and implement Machine Learning solutions for operation teams.
Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed, and conduct an end-to-end analysis.
Design, build, launch, optimize, and extend full-stack data and operational intelligence solutions spanning extraction, storage, transformation, development, and visualization.
Collaborate with operations data to identify the underlying drivers of the data.
Configure, test and debug reporting solutions and data pipelines, specifically in the AWS platform.
Utilize knowledge to make predictions and solve Machine Learning Challenges.
Let’s talk qualifications and experience:
Master's degree in Computer Science or equivalent working experience in a Data Analyst role with a dev/operations background
3 - 5 years work experience in a similar operational analytics role.
Experience in relational and non-relational databases.
Experience with data analysis techniques.
Experience with Python.
Experience with AWS technologies (e.g. Kinesis, S3, Glue, SageMaker, Lambda, QuickSight).
Experience in creating and applying advanced statistical methods and machine learning techniques such as dimensionality reduction strategies, regression, classification, clustering, simulation, scenario analysis, neural networks, and decision trees.
OK, so what next?
At ResMed, we believe in supporting, inspiring and developing our people. So, we recruit the best and then give them the tools to make a real difference in the lives of our patients. We believe that fresh thinking inspires innovation – and our shared success. If this sounds like a place you would like to work and you have the drive to transform and enhance the lives of millions of patients through your contribution at work, then today is your day! Apply now!
#LI-NF1

Please note: Unsolicited resumes from employment agencies or other third parties will not be considered.
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed above are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
ResMed is an Equal Opportunity Employer – Minority/ Female/ Disability/ Veterans
ResMed participates in E-Verify. The Notice of E-Verify Participation and the Notice of Right to Work are available for your review.
ResMed is a smoke-free workplace.
#LI-NF1",20 days ago
24228a601972ac67,Junior Data Analyst,QuinStreet,"Foster City, CA","Data Analyst

Corporate Overview
QuinStreet makes the digital media channel affordable at scale for marketing clients. We match high-intent consumers in one of the nation’s largest media networks to the right solution and the right client.

Our industry leading segmentation & matching technology platform allows marketing clients to target and reach “research & compare” customer prospects, segment by segment. Our databases and optimization algorithms are built from almost 20 years and billions of dollars of online media experience.

We believe in the direct measurability of digital media. We believe in performance marketing. (We pioneered it.) And we believe in the advantages of technology. We bring all of this together to deliver truly great results for our clients in the world’s biggest channel.

Job Category

We are seeking a Junior Data Analyst in Business and Marketing Analytics. You will gather, organize, aggregate and analyze large sets of data from multiple sources in order to produce meaningful business insight, as well as research and report in the areas of sales, marketing margins and conversions, media channel operations, technical and other related functions. This position will be an essential resource in deriving value and insights from these analyses in support of accelerating sustainable and profitable revenue growth for QuinStreet.

Responsibilities
Work with client and publisher account managers to optimize media volume and performance.
Perform ad hoc and long term business, price, and market analysis; understand lead, click, and call programs, highlighting opportunities to optimize and grow campaigns through data driven recommendations.
Monitor daily revenue, margin, and other important metrics to assist category heads in achieving performance targets.
Collaborate with developers and technology teams to maintain, enhance, and/or build new features for client and publisher platform UI’s.
Assist analytic team members in monitoring and improving listing algorithms to maximize category objectives.
Understand various KPI’s and attributes important to business and implement and improve upon various alert mechanisms to detect data anomalies and maintain high level of data integrity.
Understand internal and external data needs; summarize and create automated reports utilized by upper management, various team members, and external publisher and client account representatives.

Qualifications

B.S. degree in quantitative major like Statistics, Mathematics, Operations Research, Physics, Computer Science or related.
M.S. degree strongly preferred in one of the majors mentioned above.
1-3 years of experience in an analytical role.
Strong applied analytics: proven business and analysis skills.
Persuasive communication skills: exceptional visualization, verbal and written skills that have helped expands analytical influence.
Outstanding problem solving skills: Confident in working with complex business problems, digging deep for insights and solutions.
Excellent track record with taking ownership, a “can do” attitude; independent and proactive; self-starter; enthusiastic and strong work ethic. Can excel in fast paced, high stress environment.
Proficiency in MS Excel.
Familiar with database systems (Oracle, SQL Server, etc).
Tableau and SQL coding experience is a plus.
Knowledge of statistical analytical tools a plus (e.g. SAS, SPSS, R, PYTHON).

QuinStreet is an equal opportunity employer. We do not discriminate on the basis of race, color, religion, national origin, pregnancy status, sex, age, marital status, disability, sexual orientation, gender identity, or any other characteristics protected by law.",1 day ago
3030c449661372f8,Digital Marketing Analyst,National Pen,"San Diego, CA","National Pen is looking for an enthusiastic and passionate Digital Marketing Analyst to accelerate the growth of our ecommerce business utilizing Google Analytics (GA 360). In this role, you’ll work closely with the Channel Managers to provide valuable insight into how we measure, analyze, and attribute our digital marketing efforts. You will be expected to cull actionable insights from the data and work with the business leaders to implement and monitor your suggestions. This is a direct hire position with Benefits, PTO, 401K plus much more!
Responsibilities
Create dashboards and ad hoc reports supporting your analysis using Google Data Studio
Monitor trends to identify funnel drop-off points using Custom GA Reports and Google Sheets
Work with Channel Managers to identify tracking opportunities on the website
Facilitate any changes to analytics tagging by working with front-end engineering team to test and deploy new tags
Track Assisted Conversions for Paid Media campaigns
Synthesize quantitative data (GA) with the qualitative data (Full Story) to identify areas of improvement
Monitor and analyze Lifetime Value of all digital campaigns using in-house reporting
Analyze Brand and Non Brand keyword performance for SEO
Ensure data integrity for the Web Analytics dataset
Qualifications
5+ years of experience in web analytics with ecommerce focus
5+ years of exposure to digital marketing efforts (including Paid Media, SEO, or Email Marketing)
Deep subject matter expertise with Google Analytics (and GA 360)
Thorough understanding of Google Tag Manager
Basic SQL knowledge
Strong mathematical and problem-solving skills
Comfortable working with Web Analytics data outside of the GA interface (using R or Python)
Familiarity with A/B testing tools, including Monetate
Proven ability to turn data into actionable recommendations to achieve business goals
Outstanding communication skills with both technical and non-technical colleagues",4 hours ago
aa49aa14a8c678a5,Senior Data Analyst,BetterUp,"San Francisco, CA","BetterUp is a mobile-based coaching platform that brings personalized professional coaching to employees at all levels. We help managers lead better, teams perform better, and employees thrive personally and inspire professionally. Our mission is to help professionals everywhere pursue their lives with greater clarity, purpose, and passion. Our product was developed by a team of leading behavioral scientists, researchers, and technologists. We're already transforming the way companies approach talent development at high-performing organizations like LinkedIn, Salesforce, Capital One, Deloitte, and Logitech.

BetterUp is looking for an experienced Data Analyst to join our small and growing Analytics team. In this highly collaborative role, you will work with functional stakeholders to conduct analyses, build dashboards, and design systems that improve our operational efficiency and expand our collective knowledge.

On a day to day basis you will:
Work with product, operations, and business teams to frame problems and define key metrics, ensuring teams are aligned around the actions and efforts that will create the most value for our users.
Explore data using various techniques (including cohort analyses, segmentation, and statistical models) and communicate insights through simple and reliable reporting.
Create high quality documentation that ensures analyses are accessible, reproducible, and communicated broadly.
Collaborate seamless with engineering to maintain a robust data pipeline across internal and external sources.
Identify and implement thoughtful infrastructure improvements to increase our efficiency and limit accumulation of technical debt.
You will be successful if you:
Act as an owner - You are scrappy and adept at moving projects forward regardless of the circumstances.
Do less, deliver more - You have a strong ability to frame investigations and scope projects to focus your efforts on the highest-impact activities.
Collaborate without ego - You are willing to take on roles small and large in order to further progress toward the mission at hand.
Stay on your edge - You are continuously learning and applying emerging technologies, pushing yourself and your colleagues to new heights.
If you have some or all of the following please apply: (skillset)

4-6 years relevant experience in an analytics role at a high-growth startup
Alignment with BetterUp mission and enabling behavior change
Ability to write clean and concise SQL (R and Python a plus)
Deep expertise in using data to advance company-wide culture of inquiry, investigation, and learning
Attention to detail and ability to build confidence in data through validity testing
Ability to communicate insights to non-technical audiences through well designed dashboards and data visualizations
Experienced in collaborative product development processes (Agile, Kanban, GitHub Flow, etc)
Strong statistical background required
Strong verbal and written communication skills
Benefits:
We provide amazing benefits, but if you ask the team, they'll tell you that the greatest benefit we offer employees is an incredibly meaningful mission and transformative work.

Full coverage medical, dental and vision insurance
Unlimited use, at your own discretion, vacation policy
14 paid annual holidays
5 BetterUp Inner Work days (https://www.betterup.co/inner-work ( https://www.betterup.co/inner-work ))
5 ""Volunteer Days"" to give back
Professional development through BetterUp coaching for you and a significant other
401(k) self contribution
A competitive compensation plan with opportunity for advancement
BetterUp Inc. provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, disability, genetics, gender, sexual orientation, age, marital status, veteran status. In addition to federal law requirements, BetterUp Inc. complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training.",10 hours ago
