id,title,company,location,description,time_posted
e797c514652590bd,Data Scientist - Seller Modeling,Square,"San Francisco, CA 94103","Job Description

The Seller Modeling and Understanding team at Square utilizes our unique, rich, and rapidly growing data to build various estimations about our sellers. We partner with business, product, and operations teams to drive better decisions, automated and human, using sophisticated modeling and machine learning. Were a passionate team of hackers, statisticians, and optimizers who are resourceful in distilling questions, wrangling data, and driving decisions.
You will:
Partner with Square""s business teams to identify, prioritize, and build the most important data science projects
Drive cross functional data science projects from beginning to end: build relationships with partner teams, frame and structure questions, collect and analyze data, build out data science pipelines and models, as well as summarize and present key insights in support of decision making
Work with engineers to coordinate supporting data and product infrastructure
Collaborate with business leaders, subject matter experts, and decision makers to develop success criteria and optimize new products, features, policies, and models
Leverage your experience in analytics tools and scientific rigor to produce actionable insights
Communicate key results to senior management in verbal, visual, and written media

Qualifications

You have:
2+ years industry experience in data-science or analytics
An advanced degree (M.S., PhD.), preferably in Statistics, Computer Science, Physical Sciences, Economics, or a related technical field
A strong track record of performing data analysis using Python (numpy, pandas, scikit-learn, etc.) and SQL
Familiarity with Linux/OS X command line, version control software (git), and general software development
Experience using statistics and machine learning to solve complex business problems
The versatility and willingness to learn new technologies on the job
The ability to clearly communicate complex results to technical and non-technical audiences

Additional Information

At Square, our purpose is to empower – within and outside of our walls. In order to build the best tools for the businesses and customers we support all over the world, we have to start at home with a workforce as diverse and empowered as our sellers. To this end, we take great care to evaluate all employees and job applicants equally, based on merit, competence, and qualifications. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status, or any other characteristic protected by law. We encourage candidates from all backgrounds to apply and always consider qualified applicants with arrest and conviction records, in accordance with the San Francisco Fair Chance Ordinance. Applicants in need of special assistance or accommodation during the interview process or in accessing our website may contact us by sending an email to assistance(at)squareup.com. We will treat your request as confidentially as possible. In your email, please include your name and preferred method of contact, and we will respond as soon as possible.",21 days ago
418ed43b663ecac5,Data Scientist – New College Grad,Proofpoint,"Sunnyvale, CA 94089","Company Overview
At Proofpoint, we have a passion for protecting people, data, and brands from today’s advanced threats and compliance risks. We hire the best people in the business to:
Build and enhance our proven security platform
Blend innovation and speed in a constantly evolving cloud architecture
Analyze new threats and offer deep insight through data-driven intel
Collaborate with customers to help solve their toughest security challenges
We are singularly devoted to helping our customers protect what matters most. That’s why we’re a leader in next-generation cybersecurity—and why more than half of the Fortune 100 trust us as a security partner.
The Role
Would you like to apply cutting edge data science techniques to help protect the world against cyber threats? At Proofpoint, we work with unique data sets and craft peta byte scale solutions to help protect some of the most targeted people especially in fortune 500 companies. One of the things that makes our problem space so challenging is that dynamic nature of the threat landscape. We need to outsmart the threat actors and be two steps ahead of the game. This is where static rule based systems can’t keep up with the sheer number of threat features we deal with and we need smarter machine learning solutions to help tackle the problem. As a member of our team, you will be part of the design and development of new game changing solutions that would have a real impact on the next generation security solutions at Proofpoint.
What You Bring to the Team
Good understanding of machine learning algorithms, tools and platforms
Experience in at least one of these Toolkits: numpy, scipy, scikit-learn, tensorflow, pytorch, keras, genism, vowpal wabbit, etc.
Understanding of programming fundamentals
Python proficiency
Self-starter and intellectual curiosity
Great communication skills, ability to explain predictive analytics to non-technical audience
Proficiency in data exploration techniques and tools
Why Proofpoint
As a customer focused and driven-to-win organization with leading edge products, there are many exciting reasons to join the Proofpoint team. We believe in hiring the best the brightest and cultivating a culture of collaboration and appreciation. As we continue to grow and expand globally, we understand that hiring the right people and treating them well is key to our success! We are a multi-national company with locations in 10 countries, with each location contributing to Proofpoint’s amazing culture!
#LI-DNP",19 days ago
6480aec1f563729c,Data Scientist,ZapLabs LLC,"Emeryville, CA","Commission
Job Title: Data Scientist

Join us as we build a next-generation analytics platform to serve our world-class agents. As a Data Scientist, you’ll help build a platform of robust analytics features that lay the foundation for optimizing agent and broker productivity that bring Realogy’s renowned real estate brands into the next era of data-driven excellence.

What we’re looking for:
You’re a talented, creative, and motivated data scientist who loves data, who’s ready to work with a team of individuals who share your passion. With a related degree under your belt-and maybe even some experience-you’re ready to take your programming and database knowledge to the next level. You enjoy challenging projects involving large data pipelines, cleaning and transforming data, and algorithm development. With your strong analytical skills, unwavering commitment to quality, excellent technical skills, and collaborative work ethic, you’ll do great things here at ZapLabs.

What you’ll do:
As a Data Scientist, you’ll be responsible for mastering our data and designing the systems which enable us to use it most effectively. You’ll be designing and implementing processes around machine learning, business intelligence, and predictive analytics that meet the needs of millions of agents, brokers, home buyers, and sellers. Your role will involve collaborating with a team of talented engineers, product managers and designers to investigate new data sources, perform data modeling, and deploy new features.

Skills, accomplishments, & interests you should have:
BS in Computer Science, Engineering, Mathematics, or related technical discipline or equivalent combination of training and experience
Proven experience with machine learning/data modeling projects and algorithm development for solving business problems
At least 2 years of Data Science/Analytics experience
ETL, data cleaning and transformation experience
Solid knowledge of Python or R for statistical analysis as well as machine learning solutions (scikit-learn, tensorflow, etc)
Confidence working with SQL
Excellent analytical, statistical, and troubleshooting skills
Excellent written and verbal communication skills in English

Nice to haves:
Familiarity with Big Data technologies (Hadoop, Spark, Cassandra, HDFS, etc.) is a big plus!
Experience with Spark Streaming, Spark MLlib
Knowledge of real estate, leads, CRM, commission structures and plans
Graduate degree and/or published research in a related field
Current experience with Amazon EMR, EC2, S3, Redshift
Ability to work quickly with an eye towards the big picture

Here at ZapLabs, we love to celebrate and share with one another—from volunteering and having pizza movie nights to playing on our company sports teams and hosting our annual baking competitions and international potlucks.

#LI-LY1

HTF1
Employment type
Full-time
Company
ZapLabs LLC
About us
ZapLabs (www.zaplabs.com) is the innovation and technology hub for global real estate leader Realogy Holdings Corp. (NYSE: RLGY), and the driving force behind inventive technology for brokers and agents affiliated with Realogy’s world renowned real estate brands. ZapLabs delivers its highly effective consumer, sales associate and broker solutions in support of Realogy’s leading franchise brands and is positioned to expand the scope of its technology development efforts to encompass Realogy’s other business segments, including residential brokerage, relocation and settlement services. ZapLabs is headquartered in Emeryville, California.

#LI-LY1
HTF1
EEO statement
EOE AA M/F/Vet/Disability",21 days ago
2a02750023f35bf3,Data Science Instructor,Thinkful,"San Diego, CA","$25 - $35 an hour
Part-time
Inspire beginner data scientist to commit to building their career by leading weekly events where you’ll teach coding and give talks about tech. We’ll take care of the logistics – space, marketing the event, preparing slides – and you’ll focus on what you do best: sharing your expertise at one event each week so that every attendee walks out wanting to build their skills and grow their career.
You’ll lead technical workshops teaching the basics of data science, primarily focusing on Python, and you’ll give industry overview talks to help people make sense of the career options that are out there and what a data scientist actually does. For those interested in learning more about breaking into the career, you’ll tell attendees about Thinkful’s course and mentorship (which we’ll fill you in on during training).
As an Event Instructor, you’ll act as a community leader, instructor, advisor, mentor, Thinkful evangelist, and guide as attendees consider their career trajectory. You’ll engage with attendees in-person on a weekly basis, and occasionally reply to emails or direct them to the appropriate Thinkful department. To succeed in this role, you’ll use your people skills, public speaking, and programming knowledge.
Responsibilities:
Instruct a workshop or lead a talk that focuses on Data Science
Collaborate with TAs that will help you deliver a great experience
Offer advice and guidance to attendees looking to breaking tech industry
Be an on-the-ground brand ambassador for Thinkful
Requirements:
3+ years experience as a data scientist, including Python experience
3-month minimum commitment
Must be able to host at least 1 evening event per week
Teaching experience is a plus
Live close to or in San Diego
Job Type: Part-time
Salary: $25.00 to $35.00 /hour
Experience:
Teaching: 1 year (Preferred)
Python: 2 years (Preferred)
Public Speaking: 1 year (Preferred)
Location:
San Diego, CA (Preferred)
Work authorization:
United States (Preferred)",save job
4b1569b689ffb8c8,Research Scientist I Investigator,Kaiser Permanente,"Berkeley, CA 94710","Serves as researcher and consultant on projects for the Division of Research (DOR). Works independently with general supervision by higher level Research Scientists or an Assistant Director.

Essential Functions:
Designs, develops, and directs well-defined research. Prepares grant proposals, internal reports and publications independently and collaboratively. Provides consultation on study design, analysis plans and interpretation of study results to TPMG, KFH/P managers and committees as directed.
Provides service to the scientific community through membership on peer review groups and national boards. May consult with local, state and national voluntary and governmental agencies. Provides consultation and direction to programmer analysts with regard to data management and analysis strategies. Presents papers at national scientific meetings; teaches and/or reviews papers for national journals. Seeks consultation from senior scientists for specific scientific and administrative issues.
Kaiser Permanente conducts compensation reviews of positions on a routine basis. At any time, Kaiser Permanente reserves the right to reevaluate and change job descriptions, or to change such positions from salaried to hourly pay status. Such changes are generally implemented only after notice is given to affected employees.",6 days ago
2a02750023f35bf3,Data Science Instructor,Thinkful,"San Diego, CA","$25 - $35 an hour
Part-time
Inspire beginner data scientist to commit to building their career by leading weekly events where you’ll teach coding and give talks about tech. We’ll take care of the logistics – space, marketing the event, preparing slides – and you’ll focus on what you do best: sharing your expertise at one event each week so that every attendee walks out wanting to build their skills and grow their career.
You’ll lead technical workshops teaching the basics of data science, primarily focusing on Python, and you’ll give industry overview talks to help people make sense of the career options that are out there and what a data scientist actually does. For those interested in learning more about breaking into the career, you’ll tell attendees about Thinkful’s course and mentorship (which we’ll fill you in on during training).
As an Event Instructor, you’ll act as a community leader, instructor, advisor, mentor, Thinkful evangelist, and guide as attendees consider their career trajectory. You’ll engage with attendees in-person on a weekly basis, and occasionally reply to emails or direct them to the appropriate Thinkful department. To succeed in this role, you’ll use your people skills, public speaking, and programming knowledge.
Responsibilities:
Instruct a workshop or lead a talk that focuses on Data Science
Collaborate with TAs that will help you deliver a great experience
Offer advice and guidance to attendees looking to breaking tech industry
Be an on-the-ground brand ambassador for Thinkful
Requirements:
3+ years experience as a data scientist, including Python experience
3-month minimum commitment
Must be able to host at least 1 evening event per week
Teaching experience is a plus
Live close to or in San Diego
Job Type: Part-time
Salary: $25.00 to $35.00 /hour
Experience:
Teaching: 1 year (Preferred)
Python: 2 years (Preferred)
Public Speaking: 1 year (Preferred)
Location:
San Diego, CA (Preferred)
Work authorization:
United States (Preferred)",save job
2a02750023f35bf3,Data Science Instructor,Thinkful,"San Diego, CA","$25 - $35 an hour
Part-time
Inspire beginner data scientist to commit to building their career by leading weekly events where you’ll teach coding and give talks about tech. We’ll take care of the logistics – space, marketing the event, preparing slides – and you’ll focus on what you do best: sharing your expertise at one event each week so that every attendee walks out wanting to build their skills and grow their career.
You’ll lead technical workshops teaching the basics of data science, primarily focusing on Python, and you’ll give industry overview talks to help people make sense of the career options that are out there and what a data scientist actually does. For those interested in learning more about breaking into the career, you’ll tell attendees about Thinkful’s course and mentorship (which we’ll fill you in on during training).
As an Event Instructor, you’ll act as a community leader, instructor, advisor, mentor, Thinkful evangelist, and guide as attendees consider their career trajectory. You’ll engage with attendees in-person on a weekly basis, and occasionally reply to emails or direct them to the appropriate Thinkful department. To succeed in this role, you’ll use your people skills, public speaking, and programming knowledge.
Responsibilities:
Instruct a workshop or lead a talk that focuses on Data Science
Collaborate with TAs that will help you deliver a great experience
Offer advice and guidance to attendees looking to breaking tech industry
Be an on-the-ground brand ambassador for Thinkful
Requirements:
3+ years experience as a data scientist, including Python experience
3-month minimum commitment
Must be able to host at least 1 evening event per week
Teaching experience is a plus
Live close to or in San Diego
Job Type: Part-time
Salary: $25.00 to $35.00 /hour
Experience:
Teaching: 1 year (Preferred)
Python: 2 years (Preferred)
Public Speaking: 1 year (Preferred)
Location:
San Diego, CA (Preferred)
Work authorization:
United States (Preferred)",save job
a21093d741cd203c,"Director, Data Scientist (Geo)",Google,"Mountain View, CA","Qualifications
Minimum qualifications:
Master’s degree in a quantitative discipline (e.g. Statistics, Operations Research, Economics, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering), or equivalent practical experience.
15 years of experience working in role focused on statistical data analysis such as; linear models, multivariate analysis, stochastic models, sampling methods and Machine Learning.

Preferred qualifications:
PhD in Data Science, Statistics, or a similar technical/quantitative field.
Ability to initiate and drive multiple successful improvement initiatives inside and across the organization.
Ability to communicate clearly and persuasively, creating commitment and a drive for success in his/her teams and peers.
About the job

Data Scientists in Geo evaluate and improve Google's Geo products, such as Local Search, Google Maps, Google Earth, Street View, and more. As the Director of Data Science, you will lead our core team of Data Scientists and Analysts responsible for analysis tools, dashboards, and logging infrastructure. In this role, you will collaborate with a multi-disciplinary team of engineers and analysts on a wide range of challenges. This position will bring analytical rigor and statistical methods to the challenges of measuring quality, and improving consumer products.
The Geo team builds the most accurate, comprehensive, and useful maps for our users. More than a billion people rely on Google Maps services to explore the world and navigate their daily lives. That includes sailing down the Amazon river, choosing where to get a bite of pizza, flying over a 3D version of New York City and saving time commuting.

Geo helps merchants get their businesses on Google, and more than a million developers use the power of Google Maps to enhance their apps and websites. They are solving complex computer science problems, designing beautiful and intuitive product experiences and improving the accuracy of our geo data, all in order to plot a course for the future of mapping.
Responsibilities

Build an organization to scale the impact of data science and analysis in Geo.
Forecast product and business growth and model opportunities for strategic investments.
Enable teams across Geo to do better/faster analysis on their own.
Ensure that we are rigorous in our analysis, but also striking the right balance on when to go deep versus when a rough and quick answer suffices.
Provide thought leadership on what matters to Geo and why, through a metrics-driven lens.
Location



Mountain View, CA, USA

At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by emailing candidateaccommodations@google.com.
To all recruitment agencies: Google does not accept agency resumes. Please do not forward resumes to our jobs alias, Google employees or any other organization location. Google is not responsible for any fees related to unsolicited resumes.",2 days ago
dbb8397cb9a9e5c8,Data Scientist,"Marlette Funding, Provider of Best Egg Personal Loans","Newark, CA","Data Scientist
Experience Level - 1-5 years
Full-Time, Direct Hire Position
Newark, CA
Marlette Funding - provider of Best Egg Loans has been ranked as a top 5 fintech in the US for 2018! We leverage latest decision science and predicitive analytic technologies to power our loan product. Nearly $7 Billion in loans over 4 years, we offer plenty of career growth opportunity.
The Job
The Data Scientist will be part of Decision Science team and will partner with various business units to research and develop machine-learning models or any other tools leveraged in the strategies
Duties & Responsibilities
Design, develop, document and maintain machine learning tools (e.g. models) to extract hidden insights in the vast amount of data that Credit, Marketing and/or Operations can use to make their respective strategies and processes more efficient and effective.
Be the subject matter expert in machine learning algorithms and their applicability.
From time to time, be involved in search of relevant big data and in assessing 3rd party vendor’s capabilities.
Cultivate collaborative environment with other business units and internal stakeholders.
Identify risk and opportunities in different areas of the business.
Requirements
Development
Master’s or PhD in quantitative fields. Data science related major is a big plus.
Proficiency in statistics (e.g. experimental design, hypothesis testing).
Know how to obtain and use big data (structured and unstructured).
Proficiency in machine learning techniques (Gradient Boosting, Random Forest, Neural Network, etc.). Proficiency in NLP and graph databases is a big plus.
Experienced with end-to-end machine learning pipeline: From data extraction, feature engineering to model building, performance evaluation and implementation.
Proficiency in SQL, Python and its machine learning libraries (panda, scikit-learn, matplotlib, etc.).
Practical; grabbing small wins frequently.
Creative and curious.
Desire and ability to learn new tools and techniques.
Able to work independently and collaborate remotely.
Culture
Be confident and willing to challenge status quo but also willing to concede and execute other’s ideas when necessary
Capable of teaching and learning from others to promote continuity of knowledge and personal development
Ability to work effectively independently and as a team member
Excellent English written and verbal communication skills
Able to travel to East Coast as needed.
Looking for a way to make your application stand out?
1.Apply online through normal procedures.
2.Send a follow up email to Talent Acquisition: savannah.scalyer @ bestegg.com with your name and position of interest in the subject, in the email please include: Your resume attachment, brief introduction and/or cover letter.
Job Type: Full-time
Education:
Master's (Preferred)
Work authorization:
United States (Required)",save job
6480aec1f563729c,Data Scientist,ZapLabs LLC,"Emeryville, CA","Commission
Job Title: Data Scientist

Join us as we build a next-generation analytics platform to serve our world-class agents. As a Data Scientist, you’ll help build a platform of robust analytics features that lay the foundation for optimizing agent and broker productivity that bring Realogy’s renowned real estate brands into the next era of data-driven excellence.

What we’re looking for:
You’re a talented, creative, and motivated data scientist who loves data, who’s ready to work with a team of individuals who share your passion. With a related degree under your belt-and maybe even some experience-you’re ready to take your programming and database knowledge to the next level. You enjoy challenging projects involving large data pipelines, cleaning and transforming data, and algorithm development. With your strong analytical skills, unwavering commitment to quality, excellent technical skills, and collaborative work ethic, you’ll do great things here at ZapLabs.

What you’ll do:
As a Data Scientist, you’ll be responsible for mastering our data and designing the systems which enable us to use it most effectively. You’ll be designing and implementing processes around machine learning, business intelligence, and predictive analytics that meet the needs of millions of agents, brokers, home buyers, and sellers. Your role will involve collaborating with a team of talented engineers, product managers and designers to investigate new data sources, perform data modeling, and deploy new features.

Skills, accomplishments, & interests you should have:
BS in Computer Science, Engineering, Mathematics, or related technical discipline or equivalent combination of training and experience
Proven experience with machine learning/data modeling projects and algorithm development for solving business problems
At least 2 years of Data Science/Analytics experience
ETL, data cleaning and transformation experience
Solid knowledge of Python or R for statistical analysis as well as machine learning solutions (scikit-learn, tensorflow, etc)
Confidence working with SQL
Excellent analytical, statistical, and troubleshooting skills
Excellent written and verbal communication skills in English

Nice to haves:
Familiarity with Big Data technologies (Hadoop, Spark, Cassandra, HDFS, etc.) is a big plus!
Experience with Spark Streaming, Spark MLlib
Knowledge of real estate, leads, CRM, commission structures and plans
Graduate degree and/or published research in a related field
Current experience with Amazon EMR, EC2, S3, Redshift
Ability to work quickly with an eye towards the big picture

Here at ZapLabs, we love to celebrate and share with one another—from volunteering and having pizza movie nights to playing on our company sports teams and hosting our annual baking competitions and international potlucks.

#LI-LY1

HTF1
Employment type
Full-time
Company
ZapLabs LLC
About us
ZapLabs (www.zaplabs.com) is the innovation and technology hub for global real estate leader Realogy Holdings Corp. (NYSE: RLGY), and the driving force behind inventive technology for brokers and agents affiliated with Realogy’s world renowned real estate brands. ZapLabs delivers its highly effective consumer, sales associate and broker solutions in support of Realogy’s leading franchise brands and is positioned to expand the scope of its technology development efforts to encompass Realogy’s other business segments, including residential brokerage, relocation and settlement services. ZapLabs is headquartered in Emeryville, California.

#LI-LY1
HTF1
EEO statement
EOE AA M/F/Vet/Disability",21 days ago
